ObjectID,Object Number,JSONCall_AvaliableImages,YUAG_URL,ObjType,ObjTypeAATID,Classification,ClassificationAATID,Artist,ArtistULANID,Subject1,Subject1ULANID,Subject2,Subject2ULANID,Publisher,PublisherULANID,Title,Date,BeginDate,EndDate,Medium,Dimensions,Credit Line,Provenance,Geography,GeoTGNID,GeoGeoNamesID,Genre,GenreAATID,Subject-Depict
180637,2016.103.1,http://deliver.odai.yale.edu/info/repository/YUAG/object/180637/type/2,https://artgallery.yale.edu/collections/objects/180637,watercolors,300078925,Watercolors,300078925,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,House with red sky,1916,1916,1916,Watercolor,"image: 30 × 22 cm (11 13/16 × 8 11/16 in.)
framed: 56 × 44 cm (22 1/16 × 17 5/16 in.)",Anonymous gift,"Georgia O'Keeffe; Doris Bry; Richard Benson; Yale University Art Gallery, New Haven, Conn.",,,,landscapes (representations),300015636,houses; sky
180665,2016.103.2,http://deliver.odai.yale.edu/info/repository/YUAG/object/180665/type/2,https://artgallery.yale.edu/collections/objects/180665,watercolors,300078925,Watercolors,300078925,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Morning sky with house and windmill,1916,1916,1916,Watercolor,"image: 30 × 22 cm (11 13/16 × 8 11/16 in.)
framed: 56 × 44 cm (22 1/16 × 17 5/16 in.)",Anonymous gift,"Georgia O'Keeffe; Doris Bry; Richard Benson; Yale University Art Gallery, New Haven, Conn.",,,,landscapes (representations),300015636,houses; sky
198690,2016.101.242,http://deliver.odai.yale.edu/info/repository/YUAG/object/198690/type/2,https://artgallery.yale.edu/collections/objects/198690,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Portrait of Georgia O'Keeffe,1918,1918,1918,Gelatin silver print,image: 9 x 11.5 cm (3 9/16 x 4 1/2 in.); sheet: 9 x 11.5 cm (3 9/16 x 4 1/2 in.); support: 31.7 x 25.5 cm (12 1/2 x 10 1/16 in.),"Gift of the Doris Bry Trust, Personal Best Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,painting; plants
198691,2016.101.243,http://deliver.odai.yale.edu/info/repository/YUAG/object/198691/type/2,https://artgallery.yale.edu/collections/objects/198691,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,"Georgia O'Keeffe, Prospect Mountain, Lake George",1927,1927,1927,Gelatin silver print,image: 11 x 9 cm (4 5/16 x 3 9/16 in.); support: 31 x 24.5 cm (12 3/16 x 9 5/8 in.),"Gift of the Doris Bry Trust, Personal Best Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",Depicted: Prospect Mountain,2567225,,portrait,300015637,
198692,2016.101.244,http://deliver.odai.yale.edu/info/repository/YUAG/object/198692/type/2,https://artgallery.yale.edu/collections/objects/198692,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe,1918,1918,1918,Gelatin silver print,image: 11 x 9 cm (4 5/16 x 3 9/16 in.); support: 31 x 24.5 cm (12 3/16 x 9 5/8 in.),"Gift of the Doris Bry Trust, Personal Best Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
198693,2016.101.245,http://deliver.odai.yale.edu/info/repository/YUAG/object/198693/type/2,https://artgallery.yale.edu/collections/objects/198693,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,"Georgia O'Keeffe, Lake George",1925,1925,1925,Gelatin silver print,image: 11.7 x 9 cm (4 5/8 x 3 9/16 in.); support: 34.2 x 27 cm (13 7/16 x 10 5/8 in.),"Gift of the Doris Bry Trust, Personal Best Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",Depicted: Lake George,7013859,,portrait,300015637,
212172,2016.101.362,http://deliver.odai.yale.edu/info/repository/YUAG/object/212172/type/2,https://artgallery.yale.edu/collections/objects/212172,watercolors,300078925,Watercolors,300078925,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Untitled [Flower],1887–1986,1887,1986,Watercolor,sheet: 31 x 25.5 cm (12 3/16 x 10 1/16 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,botanical,300054467,flowers (plants)
212180,2016.101.364,http://deliver.odai.yale.edu/info/repository/YUAG/object/212180/type/2,https://artgallery.yale.edu/collections/objects/212180,drawings,300033973,Drawings,300033973,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Untitled,ca. 1950s,1940,1960,Graphite,sheet: 30.4 x 22.9 cm (11 15/16 x 9 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,animal art,300386044,dog
212369,2016.101.416,http://deliver.odai.yale.edu/info/repository/YUAG/object/212369/type/2,https://artgallery.yale.edu/collections/objects/212369,platinum print,300127145,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,,,,,,,"No. 4 Special, 1915, by Georgia O'Keeffe","1916, printed 1917",1916,1916,Platinum print,image: 24.5 x 19.5 cm (9 5/8 x 7 11/16 in.); sheet: 25.3 x 20 cm (9 15/16 x 7 7/8 in.); support: 45.5 x 31.5 cm (17 15/16 x 12 3/8 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,abstract (general art genre),300417511,
212370,2016.101.417,http://deliver.odai.yale.edu/info/repository/YUAG/object/212370/type/2,https://artgallery.yale.edu/collections/objects/212370,platinum print,300127145,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,,,,,,,"No. 12 Special, 1915, by Georgia O'Keeffe","1916, printed 1917",1916,1916,Platinum print,image: 21 x 16.5 cm (8 1/4 x 6 1/2 in.); sheet: 21 x 16.5 cm (8 1/4 x 6 1/2 in.); support: 45.5 x 31.3 cm (17 15/16 x 12 5/16 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,abstract (general art genre),300417511,
212374,2016.101.421,http://deliver.odai.yale.edu/info/repository/YUAG/object/212374/type/2,https://artgallery.yale.edu/collections/objects/212374,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe - Torso,1931,1931,1931,Gelatin silver print,image: 8 x 23.5 cm (3 1/8 x 9 1/4 in.); sheet: 8 x 23.5 cm (3 1/8 x 9 1/4 in.); support: 36 x 51 cm (14 3/16 x 20 1/16 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,human figures (visual works),300404114,nudes
212379,2016.101.425,http://deliver.odai.yale.edu/info/repository/YUAG/object/212379/type/2,https://artgallery.yale.edu/collections/objects/212379,gelatin silver prints,300128695,Photographs,300046300,"Alfred Stieglitz (American, 1864–1946)",500024301,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe and Ida O'Keeffe at Lake George,1924,1924,1924,Gelatin silver print,image: 9.5 x 12 cm (3 3/4 x 4 3/4 in.); sheet: 10 x 13 cm (3 15/16 x 5 1/8 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",Depicted: Lake George,7013859,,portrait,300015637,eating
212388,2016.101.434,http://deliver.odai.yale.edu/info/repository/YUAG/object/212388/type/2,https://artgallery.yale.edu/collections/objects/212388,gelatin silver prints,300128695,Photographs,300046300,Unknown,500460304,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,"Georgia O'Keeffe signing colophon page for Georgia O'Keeffe Drawings Portfolio, assisted by James Barnett, New York representative of the Meriden Gravure Company",1968,1968,1968,Gelatin silver print,image: 26.5 x 34.5 cm (10 7/16 x 13 9/16 in.); sheet: 27.7 x 35.5 cm (10 7/8 x 14 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
212389,2016.101.435,,https://artgallery.yale.edu/collections/objects/212389,gelatin silver prints,300128695,Photographs,300046300,Unknown,500460304,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,"Georgia O'Keeffe signing colophon page for Georgia O'Keeffe Drawings Portfolio, assisted by James Barnett, New York representative of the Meriden Gravure Company",1968,1968,1968,Gelatin silver print,image: 23.5 x 34.5 cm (9 1/4 x 13 9/16 in.); sheet: 28 x 35.5 cm (11 x 14 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
212390,2016.101.436,,https://artgallery.yale.edu/collections/objects/212390,gelatin silver prints,300128695,Photographs,300046300,Unknown,500460304,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe signing colophon page for Georgia O'Keeffe Drawings Portfolio,1968,1968,1968,Gelatin silver print,image: 23 x 34.5 cm (9 1/16 x 13 9/16 in.); sheet: 28 x 35.5 cm (11 x 14 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
212973,2016.101.441,,https://artgallery.yale.edu/collections/objects/212973,gelatin silver prints,300128695,Photographs,300046300,"Joe Munroe (American, 1917–2014)",500348111,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe,ca. 1970–79,1965,1975,Gelatin silver print,image: 24 x 16.8 cm (9 7/16 x 6 5/8 in.); sheet: 25.5 x 20.3 cm (10 1/16 x 8 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
212976,2016.101.442,http://deliver.odai.yale.edu/info/repository/YUAG/object/212976/type/2,https://artgallery.yale.edu/collections/objects/212976,gelatin silver prints,300128695,Photographs,300046300,"Ralph Looney (American, 1924–2000)",500346656,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Portrait of Georgia O'Keeffe,1963,1963,1963,Gelatin silver print,image: 49 x 40.5 cm (19 5/16 x 15 15/16 in.); sheet: 49 x 40.5 cm (19 5/16 x 15 15/16 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",,,,portrait,300015637,
212977,2016.101.443,http://deliver.odai.yale.edu/info/repository/YUAG/object/212977/type/2,https://artgallery.yale.edu/collections/objects/212977,chromogenic color prints,300236285,Photographs,300046300,"Tony Vaccaro (American, born 1922)",500339954,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,Georgia O'Keeffe in Santa Fe,ca. 1960,1955,1965,Chromogenic print,image: 45.6 x 37 cm (17 15/16 x 14 9/16 in.); sheet: 61 x 51 cm (24 x 20 1/16 in.),"Gift of the Doris Bry Trust, Study Collection","Doris Bry Collection, to 2016; Yale University Art Gallery, New Haven, Conn.",Depicted: Santa Fe,7013950,,portrait,300015637,easels; paintings
219738,2018.84.3,http://deliver.odai.yale.edu/info/repository/YUAG/object/219738/type/2,https://artgallery.yale.edu/collections/objects/219738,drawings,300033973,Drawings,300033973,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Untitled [Cliff],ca. 1940s,1940,1950,Graphite,sheet: 26 x 20 cm (10 1/4 x 7 7/8 in.),Gift of the Doris Bry Trust,"Doris Bry Collection, to 2018; Yale University Art Gallery, New Haven, Conn.",,,,landscapes (representations),300015636,
219746,2018.84.4,http://deliver.odai.yale.edu/info/repository/YUAG/object/219746/type/2,https://artgallery.yale.edu/collections/objects/219746,sketches,300015617,Drawings,300033973,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Untitled recto and verso sketches [Studies of mountains],ca. 1940s,1940,1950,Graphite,sheet: 15.2 x 22.9 cm (6 x 9 in.),Gift of the Doris Bry Trust,"Doris Bry Collection, to 2018; Yale University Art Gallery, New Haven, Conn.","Depicted, possibly: Ghost Ranch",,5469132,landscapes (representations),300015636,mountains; Southwest
219747,2018.84.5,http://deliver.odai.yale.edu/info/repository/YUAG/object/219747/type/2,https://artgallery.yale.edu/collections/objects/219747,sketches,300015617,Drawings,300033973,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,,,Untitled recto and verso sketches [Chow Chow],ca. 1950s,1950,1960,Graphite,sheet: 22.9 x 30.4 cm (9 x 11 15/16 in.),Gift of the Doris Bry Trust,"Doris Bry Collection, to 2018; Yale University Art Gallery, New Haven, Conn.",,,,animal art,300386044,
263076,2018.94.23,http://deliver.odai.yale.edu/info/repository/YUAG/object/263076/type/2,https://artgallery.yale.edu/collections/objects/263076,gelatin silver prints,300128695,Photographs,300046300,"Dan Budnik (American, born 1933)",500349012,"Georgia O'Keeffe (American, 1887–1986)",500018666,,,,,"Georgia O'Keeffe, mirthful, Ghost Ranch potting shed, New Mexico, March 1975","March 1975, printed 2000",1975,1975,Gelatin silver print,image: 45.7 x 30.7 cm (18 x 12 1/16 in.); sheet: 50.8 x 40.6 cm (20 x 16 in.),"Richard Brown Baker, B.A. 1935, Fund","Dan Budnik, to 2018; Yale University Art Gallery, New Haven, Conn.",Depicted: Ghost Ranch,,5469132,portrait,300015637,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
